,Unnamed: 0.1,Unnamed: 0,class,DT,KNN,SVM,LR,NB,RF,XGB
0,0,0,Normal,0.9695260533799784,0.967241144696284,0.9365473965744852,0.946213220358656,0.658556378773989,0.9941249629848978,0.9934345676819701
1,1,1,Reconnaissance,0.9578768527740348,0.9684169583819524,0.8166928523771603,0.8526599047816187,0.554709800190295,0.9868039528966212,0.9838974176594947
2,2,2,Weaponization,0.9835482436638504,0.9642532455725664,0.9496258982146826,0.9203701671604668,0.605868559477787,0.9988473693995167,0.9989964690577959
3,3,3,Exploitation,0.638961038961039,0.6148648648648649,0.3076923076923076,0.7810650887573963,0.04516711833785,0.9698492462311559,0.9622166246851385
4,4,4,Lateral Movement,0.857617728531856,0.869412649344139,0.7654208998548622,0.8150631931906113,0.1786933203315455,0.9848884624610218,0.9866730508339319
5,5,5,Comand and Control,0.6962828649138711,0.7159209157127991,0.6925207756232687,0.5550561797752809,0.1453463663408414,0.8391866913123844,0.8608534322820037
6,6,6,Exfiltration,0.9643823264201984,0.93928851980698,0.9520571234274056,0.9071768168440116,0.5032605969400552,0.9965015235300756,0.9968361581920904
7,7,7,Tampering,0.5327468230694037,0.2136400986031224,0.8020773225620311,0.7665094339622641,0.0577405857740585,0.9784102060843964,0.9892051030421982
8,8,8,Crypto-ransomware,0.839779005524862,0.912087912087912,0.7311827956989246,0.7058823529411765,0.1390374331550802,0.994475138121547,1.0
9,9,9,RDOS,0.9994161462111428,0.9993278856698148,0.998193987039201,0.9987083075289748,0.9880649579338682,0.9998761215424639,0.9999115153874741
